City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Esperance,-33.87,121.9,48.2,100,75,9.17,AU,1596493796
Antofagasta,-23.65,-70.4,59.0,72,40,11.41,CL,1596493796
Abhā,18.22,42.51,66.2,100,20,6.93,SA,1596493797
Ballina,-28.87,153.57,55.4,100,90,6.44,AU,1596493797
Iwanai,42.97,140.51,74.97,88,100,3.74,JP,1596493797
Sokyryany,48.45,27.42,66.99,55,28,3.0,UA,1596493797
San Cristobal,7.77,-72.22,86.0,51,40,19.46,VE,1596493798
Cabo San Lucas,22.89,-109.91,93.2,44,5,14.99,MX,1596493798
Muromtsevo,56.37,75.24,64.63,84,0,4.36,RU,1596493798
Bendigo,-36.77,144.28,37.99,79,21,7.96,AU,1596493798
Karatau,43.17,70.47,69.64,41,0,1.1,KZ,1596493799
Atar,20.52,-13.05,98.11,32,0,14.81,MR,1596493799
Bangkal,6.07,121.07,77.88,85,99,5.19,PH,1596493799
Nemuro,43.32,145.57,65.03,95,100,16.22,JP,1596493800
Zhuangyuan,37.3,120.83,77.0,92,75,1.01,CN,1596493800
Atambua,-9.11,124.89,64.42,78,30,5.41,ID,1596493800
Oistins,13.07,-59.53,84.2,74,20,10.29,BB,1596493598
Kysyl-Syr,63.9,122.76,65.64,55,0,4.47,RU,1596493801
Gabú,12.28,-14.22,74.43,96,100,7.14,GW,1596493801
Bonavista,48.65,-53.11,68.36,72,60,18.05,CA,1596493801
Sisak,45.47,16.38,66.99,93,20,5.82,HR,1596493802
Oytal,42.91,73.27,69.53,40,0,3.51,KZ,1596493802
Madimba,-10.4,40.33,69.8,94,20,11.41,TZ,1596493803
Portobelo,9.55,-79.65,84.0,88,66,14.0,PA,1596493803
Hammerfest,70.66,23.68,50.0,87,31,5.82,NO,1596493803
Warora,20.23,79.0,78.39,82,99,12.1,IN,1596493803
Bay Roberts,47.6,-53.26,75.0,66,39,11.12,CA,1596493804
Magdalena,14.2,121.43,80.6,83,100,1.12,PH,1596493804
Lázaro Cárdenas,17.96,-102.2,86.07,75,65,5.1,MX,1596493805
Buala,-8.14,159.59,84.74,72,8,9.22,SB,1596493805
Tucupita,9.06,-62.05,76.95,95,71,3.29,VE,1596493806
Brønnøysund,65.46,12.2,55.4,82,75,6.93,NO,1596493806
San Policarpo,12.18,125.51,82.65,79,97,3.0,PH,1596493806
Port Lincoln,-34.73,135.87,49.84,63,50,16.28,AU,1596493807
Abapó,-18.83,-63.47,74.68,35,0,5.64,BO,1596493807
Yangi Marg`ilon,40.43,71.72,73.4,46,0,6.93,UZ,1596493807
Ayagoz,47.97,80.44,63.91,66,75,7.36,KZ,1596493807
Huarmey,-10.07,-78.15,61.65,77,13,8.37,PE,1596493808
Polomolok,6.28,125.08,72.16,90,100,1.1,PH,1596493808
Puerto Madryn,-42.77,-65.04,58.3,48,57,16.2,AR,1596493585
Gazojak,41.19,61.4,80.15,23,0,4.9,TM,1596493809
Matagami,49.75,-77.63,60.8,67,90,8.05,CA,1596493809
Mackay,-21.15,149.2,62.6,88,11,2.24,AU,1596493809
Ilek,51.53,53.38,58.19,84,100,23.24,RU,1596493809
Tucumcari,35.17,-103.72,93.2,26,1,9.17,US,1596493810
Los Llanos de Aridane,28.66,-17.92,75.0,78,1,18.34,ES,1596493810
Bellefontaine,40.36,-83.76,72.0,100,1,8.05,US,1596493751
Truth or Consequences,33.13,-107.25,96.8,22,1,6.93,US,1596493810
Mircea Vodă,44.28,28.17,66.2,68,20,6.93,RO,1596493811
Tari,12.41,4.49,72.18,88,94,9.62,NG,1596493811
Lumsden,50.65,-104.87,80.6,34,75,20.8,CA,1596493811
Lavrentiya,65.58,-171.0,48.34,69,97,1.54,RU,1596493811
Qaqortoq,60.72,-46.03,48.2,87,100,4.7,GL,1596493812
Fort Nelson,58.81,-122.7,64.4,72,75,10.29,CA,1596493812
Tianpeng,30.99,103.94,78.8,100,20,2.24,CN,1596493812
Sistranda,63.73,8.83,53.6,93,75,10.29,NO,1596493812
Geraldton,-28.77,114.6,59.0,72,75,11.41,AU,1596493813
Lubango,-14.92,13.49,55.45,38,0,4.27,AO,1596493523
Uvira,-3.41,29.15,73.04,44,22,2.17,CD,1596493813
Uppsala County,60.0,17.75,59.0,72,76,8.05,SE,1596493703
Eyl,7.98,49.82,80.65,62,34,26.49,SO,1596493814
Berlevåg,70.86,29.09,46.4,100,90,3.36,NO,1596493814
Chapais,49.78,-74.85,68.0,60,20,8.05,CA,1596493814
General Roca,-39.03,-67.58,57.2,62,78,4.63,AR,1596493815
Darhan,49.49,105.92,60.28,83,99,1.54,MN,1596493815
Dembī Dolo,8.53,34.8,56.61,100,100,2.04,ET,1596493815
Port Shepstone,-30.74,30.45,67.1,27,0,6.58,ZA,1596493815
Kristinestad,62.27,21.38,59.61,86,42,8.7,FI,1596493816
Mayo,38.89,-76.51,75.2,94,75,1.79,US,1596493816
Lima,-12.04,-77.03,60.8,77,90,8.05,PE,1596493816
Port Pirie,-33.18,138.02,48.2,81,90,9.17,AU,1596493816
Balikpapan,-1.27,116.83,75.2,100,20,4.7,ID,1596493817
Labuhan,-6.88,112.21,75.11,81,70,9.35,ID,1596493817
Igrim,63.19,64.42,53.92,76,96,4.54,RU,1596493817
Agapovka,53.3,59.13,66.2,82,75,11.18,RU,1596493817
Smirnykh,49.75,142.83,51.87,94,100,3.96,RU,1596493818
Along,28.17,94.77,74.71,83,15,2.06,IN,1596493818
Stokmarknes,68.56,14.91,60.01,81,80,1.01,NO,1596493818
Mount Isa,-20.73,139.5,53.6,50,0,8.21,AU,1596493818
Kulhudhuffushi,6.62,73.07,81.43,80,100,18.54,MV,1596493818
Dakar,14.69,-17.44,82.4,78,40,9.17,SN,1596493819
Hwange,-18.37,26.5,52.88,63,0,1.05,ZW,1596493819
Tamuín,21.98,-98.75,92.35,55,27,2.93,MX,1596493819
Port Montt,-41.47,-72.94,50.0,93,75,3.85,CL,1596493532
Pombas,17.15,-25.02,80.6,78,20,11.41,CV,1596493820
Omboué,-1.57,9.26,72.72,79,28,6.87,GA,1596493820
Skegness,53.14,0.34,57.2,71,41,1.12,GB,1596493820
Fort-Shevchenko,44.51,50.26,73.87,60,4,13.42,KZ,1596493820
Concepción de la Vega,19.22,-70.53,89.6,52,40,17.22,DO,1596493804
Malbork,54.04,19.03,60.01,100,100,3.06,PL,1596493821
Camacupa,-12.02,17.48,52.83,41,42,4.88,AO,1596493821
Takoradze,4.88,-1.76,73.22,83,42,8.19,GH,1596493821
Kuching,1.55,110.33,77.0,94,20,2.24,MY,1596493821
Vágur,61.47,-6.81,50.7,88,10,13.73,FO,1596493822
Bereket,39.24,55.52,82.71,46,1,4.5,TM,1596493822
Micheweni,-4.97,39.83,75.61,80,21,14.09,TZ,1596493822
Nelson Bay,-32.72,152.15,52.0,81,52,9.17,AU,1596493822
Urusha,54.05,122.9,54.84,97,100,7.16,RU,1596493823
Taoudenni,22.68,-3.98,102.58,8,0,10.13,ML,1596493823
Liubar,49.92,27.76,59.58,65,43,11.21,UA,1596493823
Makaha,21.47,-158.22,87.8,57,75,10.29,US,1596493824
La Palma,33.85,-118.05,80.6,51,1,8.05,US,1596493726
Hokitika,-42.72,170.97,52.84,91,96,8.32,NZ,1596493824
Châteauroux,46.82,1.7,59.0,54,39,9.17,FR,1596493824
Kieta,-6.22,155.63,84.87,68,5,6.4,PG,1596493824
Biak,-0.91,122.88,76.01,86,99,7.74,ID,1596493825
Avera,33.19,-82.53,89.6,55,1,4.7,US,1596493825
Hirara,24.8,125.28,82.4,83,75,10.29,JP,1596493825
Thunder Bay,48.4,-89.32,66.2,52,75,8.05,CA,1596493797
Iguape,-24.71,-47.56,64.49,87,1,6.02,BR,1596493826
Portland,45.52,-122.68,84.99,39,20,12.75,US,1596493486
Montgomery,39.15,-77.2,73.99,88,90,8.05,US,1596493826
Kroya,-7.63,109.25,74.7,86,99,4.81,ID,1596493827
Panjāb,34.39,67.02,53.33,42,0,4.81,AF,1596493827
Cho Dok,10.7,105.12,77.63,89,100,9.48,VN,1596493783
Zaranj,30.97,61.88,87.8,20,0,28.86,AF,1596493828
Novobelokatay,55.71,58.95,63.61,94,100,8.63,RU,1596493828
Agirish,61.92,63.02,56.39,71,94,1.95,RU,1596493828
Westport,41.14,-73.36,87.8,48,1,12.75,US,1596493828
Touros,-5.2,-35.46,75.2,73,20,9.17,BR,1596493829
Östersund,63.18,14.64,48.2,93,90,13.87,SE,1596493829
Mandera,3.94,41.87,78.49,56,82,23.02,KE,1596493829
Qasigiannguit,68.82,-51.19,44.6,75,40,4.7,GL,1596493829
Gainesville,29.65,-82.32,93.99,55,1,3.36,US,1596493742
Boffa,10.17,-14.03,75.6,89,67,8.25,GN,1596493830
Aksarka,66.56,67.8,52.79,92,76,8.99,RU,1596493830
Porto Walter,-8.27,-72.74,80.06,52,70,0.51,BR,1596493830
Sisimiut,66.94,-53.67,45.21,77,71,13.02,GL,1596493830
Arifwala,30.29,73.07,95.49,36,0,8.93,PK,1596493831
Envira,-7.3,-70.22,78.76,56,63,1.34,BR,1596493831
Haicheng,40.85,122.75,77.56,87,0,9.82,CN,1596493831
Moengo,5.62,-54.4,74.88,93,44,3.49,SR,1596493831
Morón,-34.65,-58.62,71.01,73,12,1.01,AR,1596493832
Ostrovnoy,68.05,39.51,50.2,90,100,11.43,RU,1596493832
Västerås,59.62,16.55,60.8,63,92,5.82,SE,1596493832
Saint-Augustin,51.23,-58.65,65.57,87,100,15.66,CA,1596493832
Shenzhen,22.55,114.07,80.6,88,75,4.47,CN,1596493786
Kashgar,39.45,75.98,77.0,29,23,8.95,CN,1596493833
Boldumsaz,42.13,59.67,77.0,44,73,2.24,TM,1596493833
Hoctun,20.87,-89.2,93.2,49,40,9.17,MX,1596493833
Inhambane,-23.86,35.38,63.63,77,10,6.08,MZ,1596493833
Kharp,66.8,65.81,52.43,85,39,3.11,RU,1596493834
Salalah,17.02,54.09,82.4,83,19,4.7,OM,1596493834
Camabatela,-8.19,15.38,57.9,91,93,4.52,AO,1596493834
Formosa,-26.18,-58.18,75.2,47,0,8.05,AR,1596493691
Turan,16.07,108.22,82.4,74,75,1.12,VN,1596493658
Juneau,58.3,-134.42,61.0,77,90,13.87,US,1596493577
Huangnihe,43.56,128.02,70.81,90,89,4.05,CN,1596493835
Ponta Delgada,37.73,-25.67,71.6,83,75,6.93,PT,1596493836
Matara,5.95,80.54,78.28,86,100,13.11,LK,1596493836
Wuxi,31.57,120.29,88.0,64,31,3.0,CN,1596493836
Vieux-Habitants,16.06,-61.77,84.2,74,20,8.05,GP,1596493836
Chicama,-7.84,-79.15,63.34,75,8,8.19,PE,1596493837
Zambrów,52.99,22.24,71.01,58,83,1.48,PL,1596493837
Binzhou,37.37,118.02,80.22,88,11,7.92,CN,1596493837
Victor Harbor,-35.57,138.62,43.0,88,2,9.95,AU,1596493837
Maceió,-9.67,-35.74,75.2,78,40,5.82,BR,1596493656
Hobyo,5.35,48.53,77.83,73,34,24.07,SO,1596493838
Alyangula,-13.85,136.42,62.6,100,90,4.92,AU,1596493838
Andrews,32.32,-102.55,91.4,31,40,8.05,US,1596493838
Batemans Bay,-35.72,150.18,46.0,78,59,10.0,AU,1596493838
Cupira,-8.62,-35.95,64.09,94,16,8.03,BR,1596493839
Satipo,-11.25,-74.64,75.65,51,9,1.68,PE,1596493839
Cimarron Hills,38.86,-104.7,73.4,53,40,8.05,US,1596493839
Phuket,8.0,98.25,82.0,94,75,21.92,TH,1596493840
Terrace,54.52,-128.6,60.8,77,75,19.46,CA,1596493840
‘Ewa Beach,21.32,-158.01,87.8,45,90,10.29,US,1596493840
Bagn,60.82,9.55,43.0,81,51,1.21,NO,1596493841
Athabasca,54.72,-113.29,69.1,84,93,10.2,CA,1596493652
Henties Bay,-22.12,14.28,55.99,90,0,1.01,NA,1596493841
Sinnamary,5.38,-52.95,78.62,82,46,7.58,GF,1596493841
Moramanga,-18.93,48.2,53.01,95,72,5.06,MG,1596493842
Ayotzintepec,17.67,-96.13,86.54,60,21,4.74,MX,1596493842
Beira,-19.84,34.84,64.89,84,0,1.68,MZ,1596493842
Napāsar,27.97,73.55,90.72,55,55,18.43,IN,1596493842
Fuyang,32.9,115.82,80.65,94,100,6.67,CN,1596493843
Yeniseysk,58.45,92.17,57.6,82,1,4.32,RU,1596493843
Dongkan,34.0,119.83,78.06,93,100,9.4,CN,1596493843
Santa Maria,-29.68,-53.81,73.4,78,0,6.93,BR,1596493742
Njombe,-9.33,34.77,49.93,94,15,6.46,TZ,1596493844
Flinders,-34.58,150.86,62.01,81,13,3.0,AU,1596493844
Solwezi,-12.17,26.39,52.34,51,0,3.18,ZM,1596493844
Turaif,31.67,38.66,78.8,50,0,13.87,SA,1596493845
Tilichiki,60.47,166.1,57.85,75,60,2.44,RU,1596493845
Skała,50.23,19.85,64.4,93,75,3.36,PL,1596493845
Guerrero Negro,27.98,-114.06,84.18,48,0,14.07,MX,1596493729
Byron Bay,-28.65,153.62,61.0,100,90,4.99,AU,1596493846
Khani,41.96,42.96,62.6,93,3,4.7,GE,1596493846
Koudougou,12.25,-2.37,72.07,92,100,10.02,BF,1596493847
Egvekinot,66.32,-179.17,50.09,61,23,5.66,RU,1596493847
Newport,51.59,-3.0,61.0,72,79,5.1,GB,1596493842
Maniitsoq,65.42,-52.9,45.41,80,82,15.5,GL,1596493847
